store_name,city,stage,channel,archetype,draft_source,draft_subject,draft_body
Revival Studio,Berlin,skeptical,physical,skeptical,template,[template] Fair point — a quick thought for Revival Studio,"Hi there, totally hear you. If it's volume you're after, that's exactly our strength — consistent bulk sourcing, enough to stock a second shop. No hard sell — happy to let the stock speak for itself whenever suits."
deadco34,,contacted,online,follow_up,template,[template] Following up — Fleek for deadco34,"Hi there, circling back on my note about sourcing sells on depop + vinted through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Echo Garments,London,in_conversation,physical,in_conversation,template,[template] Next step for Echo Garments,"Hi there, good chatting. To keep things moving I can put together bulk pricing on vintage streetwear — nike, adidas, ralph or set up a small first order whenever you're ready — which is easier for you?"
Retrograde Store,Brighton,never_contacted,physical,cold_intro,template,[template] Fleek x Retrograde Store — sourcing vintage in bulk,"Hi there, I came across Retrograde Store and loved the y2k, grunge and reworked one-off pieces. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Brighton?"
Wilder Exchange,Brighton,in_conversation,physical,in_conversation,template,[template] Next step for Wilder Exchange,"Hi there, good chatting. To keep things moving I can put together bulk pricing on vintage streetwear — nike, adidas, ralph or set up a small first order whenever you're ready — which is easier for you?"
thriftedgoods77,,contacted,online,follow_up,template,[template] Following up — Fleek for thriftedgoods77,"Hi there, circling back on my note about sourcing whatnot seller, live sales through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Analog Room,Brighton,meeting_booked,physical,in_conversation,template,[template] Next step for Analog Room,"Hi Jack Okafor, good chatting. To keep things moving I can put together bulk pricing on vintage workwear, military surplus, carhartt or set up a small first order whenever you're ready — which is easier for you?"
Echo Store,London,never_contacted,physical,cold_intro,template,[template] Fleek x Echo Store — sourcing vintage in bulk,"Hi James Dubois, I came across Echo Store and loved the hand-picked vintage from the 60s to the 90s. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
Static Vault,London,lost,physical,lost,template,[template] Leaving the door open — Static Vault,"Hi there, no worries that the timing wasn't right. If sourcing collectables, china, and bric-a-brac in bulk becomes useful down the line, I'm one message away. Wishing Static Vault a great season."
Marlowe Goods,Amsterdam,never_contacted,physical,cold_intro,template,[template] Fleek x Marlowe Goods — sourcing vintage in bulk,"Hi Theo Rossi, I came across Marlowe Goods and loved the reworked vintage and archive designer pieces. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Amsterdam?"
eraroom41,,replied,online,follow_up,template,[template] Following up — Fleek for eraroom41,"Hi there, circling back on my note about sourcing your stock through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Sunday Collective,London,negotiating,physical,in_conversation,template,[template] Next step for Sunday Collective,"Hi Ben Ferreira, good chatting. To keep things moving I can put together bulk pricing on fancy dress & theatrical costume hire or set up a small first order whenever you're ready — which is easier for you?"
Analog Emporium,London,negotiating,physical,in_conversation,template,[template] Next step for Analog Emporium,"Hi there, good chatting. To keep things moving I can put together bulk pricing on hand-picked vintage from the 60s to the 90s or set up a small first order whenever you're ready — which is easier for you?"
grailfinds3,,lost,online,lost,template,[template] Leaving the door open — grailfinds3,"Hi there, no worries that the timing wasn't right. If sourcing ig shop, dms open in bulk becomes useful down the line, I'm one message away. Wishing grailfinds3 a great season."
Worn Rail,Amsterdam,replied,physical,follow_up,template,[template] Following up — Fleek for Worn Rail,"Hi there, circling back on my note about sourcing collectables, china, and bric-a-brac through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
studioarchive99,,never_contacted,online,cold_intro,template,[template] Fleek x studioarchive99 — sourcing vintage in bulk,"Hi there, I came across studioarchive99 and loved the sells on depop + vinted. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
thriftedera71,,never_contacted,online,cold_intro,template,[template] Fleek x thriftedera71 — sourcing vintage in bulk,"Hi there, I came across thriftedera71 and loved the your stock. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
eragoods88,,never_contacted,online,cold_intro,template,[template] Fleek x eragoods88 — sourcing vintage in bulk,"Hi there, I came across eragoods88 and loved the your stock. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
theco92,,meeting_booked,online,in_conversation,template,[template] Next step for theco92,"Hi there, good chatting. To keep things moving I can put together bulk pricing on ig shop, dms open or set up a small first order whenever you're ready — which is easier for you?"
deadroom16,,in_conversation,online,in_conversation,template,[template] Next step for deadroom16,"Hi there, good chatting. To keep things moving I can put together bulk pricing on whatnot seller, live sales or set up a small first order whenever you're ready — which is easier for you?"
Wilder Supply,Bristol,in_conversation,physical,in_conversation,template,[template] Next step for Wilder Supply,"Hi there, good chatting. To keep things moving I can put together bulk pricing on curated vintage womenswear, levi's & band tees or set up a small first order whenever you're ready — which is easier for you?"
Velvet Corner,Paris,replied,physical,follow_up,template,[template] Following up — Fleek for Velvet Corner,"Hi there, circling back on my note about sourcing reworked vintage and archive designer pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Bygone Racks,London,replied,physical,follow_up,template,[template] Following up — Fleek for Bygone Racks,"Hi there, circling back on my note about sourcing 80s/90s denim & sportswear specialist through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
therail67,,never_contacted,online,cold_intro,template,[template] Fleek x therail67 — sourcing vintage in bulk,"Hi there, I came across therail67 and loved the whatnot seller, live sales. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
stockvault47,,contacted,online,follow_up,template,[template] Following up — Fleek for stockvault47,"Hi there, circling back on my note about sourcing your stock through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Heirloom Archive,Paris,won,physical,active_customer,template,"[template] How's it going, Heirloom Archive?","Hi Grace Marsh, just checking in — how did the last order land in-store? Let me know what's selling and I'll line up more of the reworked vintage and archive designer pieces you're after."
Marlowe Vintage,Los Angeles,replied,physical,follow_up,template,[template] Following up — Fleek for Marlowe Vintage,"Hi Yusuf Novak, circling back on my note about sourcing hand-picked vintage from the 60s to the 90s through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Golden Era Loft,Bristol,never_contacted,physical,cold_intro,template,[template] Fleek x Golden Era Loft — sourcing vintage in bulk,"Hi Noor Diallo, I came across Golden Era Loft and loved the vintage workwear, military surplus, carhartt. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Bristol?"
retrosupply58,,won,online,active_customer,template,"[template] How's it going, retrosupply58?","Hi there, just checking in — how did the last order land in-store? Let me know what's selling and I'll line up more of the whatnot seller, live sales you're after."
WILDER GOODS,Leeds,negotiating,physical,in_conversation,template,[template] Next step for WILDER GOODS,"Hi Ellie Rossi, good chatting. To keep things moving I can put together bulk pricing on 80s/90s denim & sportswear specialist or set up a small first order whenever you're ready — which is easier for you?"
retroarchive14,,replied,online,follow_up,template,[template] Following up — Fleek for retroarchive14,"Hi there, circling back on my note about sourcing fast seller, good margins through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Ragged Goods,Brighton,replied,physical,follow_up,template,[template] Following up — Fleek for Ragged Goods,"Hi there, circling back on my note about sourcing vintage workwear, military surplus, carhartt through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Heirloom Depot,London,lost,physical,lost,template,[template] Leaving the door open — Heirloom Depot,"Hi Dan Baker, no worries that the timing wasn't right. If sourcing y2k, grunge and reworked one-off pieces in bulk becomes useful down the line, I'm one message away. Wishing Heirloom Depot a great season."
Heirloom Vault,Berlin,in_conversation,physical,in_conversation,template,[template] Next step for Heirloom Vault,"Hi Ines Meyer, good chatting. To keep things moving I can put together bulk pricing on y2k, grunge and reworked one-off pieces or set up a small first order whenever you're ready — which is easier for you?"
reworkedera62,,never_contacted,online,cold_intro,template,[template] Fleek x reworkedera62 — sourcing vintage in bulk,"Hi there, I came across reworkedera62 and loved the whatnot seller, live sales. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Heirloom Store,London,won,physical,active_customer,template,"[template] How's it going, Heirloom Store?","Hi Chloe Dubois, just checking in — how did the last order land in-store? Let me know what's selling and I'll line up more of the y2k, grunge and reworked one-off pieces you're after."
Second Racks,London,meeting_booked,physical,in_conversation,template,[template] Next step for Second Racks,"Hi Ben Bennett, good chatting. To keep things moving I can put together bulk pricing on hand-picked vintage from the 60s to the 90s or set up a small first order whenever you're ready — which is easier for you?"
Restore Charity Shop,Amsterdam,won,physical,active_customer,template,"[template] How's it going, Restore Charity Shop?","Hi there, just checking in — how did the last order land in-store? Let me know what's selling and I'll line up more of the fancy dress & theatrical costume hire you're after."
Revival Supply,Bristol,contacted,physical,follow_up,template,[template] Following up — Fleek for Revival Supply,"Hi James Diallo, circling back on my note about sourcing retro football shirts & vintage sportswear through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Helping Hand Charity,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Helping Hand Charity,"Hi Jack Byrne, circling back on my note about sourcing fancy dress & theatrical costume hire through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
reworkedvault89,,replied,online,follow_up,template,[template] Following up — Fleek for reworkedvault89,"Hi there, circling back on my note about sourcing ig shop, dms open through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
THE COSTUME TRUNK,London,churned,physical,win_back,template,[template] Been a minute — what's new at Fleek,"Hi Sam Meyer, It's been a while. We've made some real changes to how sourcing works since you last ordered, and I think it'd suit THE COSTUME TRUNK again. Would you be open to taking another look — no commitment?"
Thread Rail,London,churned,physical,win_back,template,[template] Been a minute — what's new at Fleek,"Hi Sofia Baker, It's been a while. We've made some real changes to how sourcing works since you last ordered, and I think it'd suit Thread Rail again. Would you be open to taking another look — no commitment?"
depopco11,,contacted,online,follow_up,template,[template] Following up — Fleek for depopco11,"Hi there, circling back on my note about sourcing fast seller, good margins through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Loop Wardrobe,London,replied,physical,follow_up,template,[template] Following up — Fleek for Loop Wardrobe,"Hi there, circling back on my note about sourcing hand-picked vintage from the 60s to the 90s through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
stockdrip47,,replied,online,follow_up,template,[template] Following up — Fleek for stockdrip47,"Hi there, circling back on my note about sourcing fast seller, good margins through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
deadthreads62,,never_contacted,online,cold_intro,template,[template] Fleek x deadthreads62 — sourcing vintage in bulk,"Hi there, I came across deadthreads62 and loved the your stock. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Ragged Trading Co,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Ragged Trading Co,"Hi Leo Lopez, circling back on my note about sourcing y2k, grunge and reworked one-off pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
retropicks38,,never_contacted,online,cold_intro,template,[template] Fleek x retropicks38 — sourcing vintage in bulk,"Hi there, I came across retropicks38 and loved the sells on depop + vinted. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Flea & Co,Leeds,meeting_booked,physical,in_conversation,template,[template] Next step for Flea & Co,"Hi there, good chatting. To keep things moving I can put together bulk pricing on reclaimed furniture and home restoration or set up a small first order whenever you're ready — which is easier for you?"
Moth Vault,Leeds,negotiating,physical,in_conversation,template,[template] Next step for Moth Vault,"Hi Tom Shah, good chatting. To keep things moving I can put together bulk pricing on 80s/90s denim & sportswear specialist or set up a small first order whenever you're ready — which is easier for you?"
Wilder & Sons,Manchester,never_contacted,physical,cold_intro,template,[template] Fleek x Wilder & Sons — sourcing vintage in bulk,"Hi there, I came across Wilder & Sons and loved the retro football shirts & vintage sportswear. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Manchester?"
eraarchive59,,replied,online,follow_up,template,[template] Following up — Fleek for eraarchive59,"Hi there, circling back on my note about sourcing fast seller, good margins through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Kestrel Goods,Los Angeles,contacted,physical,follow_up,template,[template] Following up — Fleek for Kestrel Goods,"Hi there, circling back on my note about sourcing retro football shirts & vintage sportswear through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
depoprail41,,churned,online,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while (272 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit depoprail41 again. Would you be open to taking another look — no commitment?"
eraroom25,,never_contacted,online,cold_intro,template,[template] Fleek x eraroom25 — sourcing vintage in bulk,"Hi there, I came across eraroom25 and loved the your stock. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Bygone Exchange,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Bygone Exchange,"Hi there, circling back on my note about sourcing y2k, grunge and reworked one-off pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
NOMAD ROOM,Bristol,lost,physical,lost,template,[template] Leaving the door open — NOMAD ROOM,"Hi there, no worries that the timing wasn't right. If sourcing 80s/90s denim & sportswear specialist in bulk becomes useful down the line, I'm one message away. Wishing NOMAD ROOM a great season."
Thread Garments,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Thread Garments,"Hi Sofia Dubois, circling back on my note about sourcing reclaimed furniture and home restoration through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Golden Era Trading Co,London,lost,physical,lost,template,[template] Leaving the door open — Golden Era Trading Co,"Hi there, no worries that the timing wasn't right. If sourcing vintage workwear, military surplus, carhartt in bulk becomes useful down the line, I'm one message away. Wishing Golden Era Trading Co a great season."
Marlowe Exchange,New York,contacted,physical,follow_up,template,[template] Following up — Fleek for Marlowe Exchange,"Hi there, circling back on my note about sourcing reworked vintage and archive designer pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Attic Apparel,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Attic Apparel,"Hi Mila Meyer, circling back on my note about sourcing 80s/90s denim & sportswear specialist through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Marlowe Rail,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Marlowe Rail,"Hi Leo Nowak, circling back on my note about sourcing hand-picked vintage from the 60s to the 90s through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Analog Closet,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Analog Closet,"Hi Tom Nowak, circling back on my note about sourcing records, vinyl & memorabilia through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Patina Store,Manchester,never_contacted,physical,cold_intro,template,[template] Fleek x Patina Store — sourcing vintage in bulk,"Hi there, I came across Patina Store and loved the reworked vintage and archive designer pieces. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Manchester?"
deadpicks79,,never_contacted,online,cold_intro,template,[template] Fleek x deadpicks79 — sourcing vintage in bulk,"Hi there, I came across deadpicks79 and loved the whatnot seller, live sales. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Second Store,London,skeptical,physical,skeptical,template,[template] Fair point — a quick thought for Second Store,"Hi Ben Dubois, totally hear you. I'd rather show you than sell you — happy to walk through exactly how it'd work. No hard sell — happy to let the stock speak for itself whenever suits."
Bygone Room,London,never_contacted,physical,cold_intro,template,[template] Fleek x Bygone Room — sourcing vintage in bulk,"Hi there, I came across Bygone Room and loved the reclaimed furniture and home restoration. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
Pinegrove Store,Paris,meeting_booked,physical,in_conversation,template,[template] Next step for Pinegrove Store,"Hi Priya Nowak, good chatting. To keep things moving I can put together bulk pricing on curated vintage womenswear, levi's & band tees or set up a small first order whenever you're ready — which is easier for you?"
Bygone Emporium,Brighton,contacted,physical,follow_up,template,[template] Following up — Fleek for Bygone Emporium,"Hi Nadia Shah, circling back on my note about sourcing hand-picked vintage from the 60s to the 90s through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Retrograde Racks,Los Angeles,meeting_booked,physical,in_conversation,template,[template] Next step for Retrograde Racks,"Hi Priya Ali, good chatting. To keep things moving I can put together bulk pricing on curated vintage womenswear, levi's & band tees or set up a small first order whenever you're ready — which is easier for you?"
thedrip50,,never_contacted,online,cold_intro,template,[template] Fleek x thedrip50 — sourcing vintage in bulk,"Hi there, I came across thedrip50 and loved the fast seller, good margins. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
archivefinds36,,won,online,active_customer,template,"[template] How's it going, archivefinds36?","Hi there, just checking in — how did the last order land in-store? Let me know what's selling and I'll line up more of the ig shop, dms open you're after."
Worn Exchange,Brighton,replied,physical,follow_up,template,[template] Following up — Fleek for Worn Exchange,"Hi Chloe Haddad, circling back on my note about sourcing retro football shirts & vintage sportswear through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Faded Loft,London,negotiating,physical,in_conversation,template,[template] Next step for Faded Loft,"Hi Freya Rossi, good chatting. To keep things moving I can put together bulk pricing on vintage workwear, military surplus, carhartt or set up a small first order whenever you're ready — which is easier for you?"
Velvet Closet,Manchester,never_contacted,physical,cold_intro,template,[template] Fleek x Velvet Closet — sourcing vintage in bulk,"Hi Hannah Byrne, I came across Velvet Closet and loved the vintage streetwear — nike, adidas, ralph. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Manchester?"
Moth Supply,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Moth Supply,"Hi there, circling back on my note about sourcing 80s/90s denim & sportswear specialist through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Dusty Vault,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Dusty Vault,"Hi Ellie Meyer, circling back on my note about sourcing vintage streetwear — nike, adidas, ralph through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Nomad Vault,Glasgow,negotiating,physical,in_conversation,template,[template] Next step for Nomad Vault,"Hi there, good chatting. To keep things moving I can put together bulk pricing on reworked vintage and archive designer pieces or set up a small first order whenever you're ready — which is easier for you?"
Velvet Exchange,Berlin,negotiating,physical,in_conversation,template,[template] Next step for Velvet Exchange,"Hi Oscar Shah, good chatting. To keep things moving I can put together bulk pricing on curated vintage womenswear, levi's & band tees or set up a small first order whenever you're ready — which is easier for you?"
Dusty Store,New York,skeptical,physical,skeptical,template,[template] Fair point — a quick thought for Dusty Store,"Hi Yusuf Klein, totally hear you. I'd rather show you than sell you — happy to walk through exactly how it'd work. No hard sell — happy to let the stock speak for itself whenever suits."
Velvet Room,London,in_conversation,physical,in_conversation,template,[template] Next step for Velvet Room,"Hi Oscar Ali, good chatting. To keep things moving I can put together bulk pricing on y2k, grunge and reworked one-off pieces or set up a small first order whenever you're ready — which is easier for you?"
Faded Vault,Glasgow,won,physical,active_customer,template,"[template] How's it going, Faded Vault?","Hi Noor Meyer, just checking in — how did the last order land in-store? Let me know what's selling and I'll line up more of the vintage workwear, military surplus, carhartt you're after."
Rewind Society,London,never_contacted,physical,cold_intro,template,[template] Fleek x Rewind Society — sourcing vintage in bulk,"Hi Mila Lopez, I came across Rewind Society and loved the vintage streetwear — nike, adidas, ralph. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in London?"
stockrail59,,churned,online,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while (237 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit stockrail59 again. Would you be open to taking another look — no commitment?"
depopthreads55,,never_contacted,online,cold_intro,template,[template] Fleek x depopthreads55 — sourcing vintage in bulk,"Hi there, I came across depopthreads55 and loved the whatnot seller, live sales. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
WORN TRADING CO,London,contacted,physical,follow_up,template,[template] Following up — Fleek for WORN TRADING CO,"Hi there, circling back on my note about sourcing y2k, grunge and reworked one-off pieces through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
archivedrip82,,never_contacted,online,cold_intro,template,[template] Fleek x archivedrip82 — sourcing vintage in bulk,"Hi there, I came across archivedrip82 and loved the ig shop, dms open. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Static Racks,London,meeting_booked,physical,in_conversation,template,[template] Next step for Static Racks,"Hi Ines Dubois, good chatting. To keep things moving I can put together bulk pricing on curated vintage womenswear, levi's & band tees or set up a small first order whenever you're ready — which is easier for you?"
Faded Denim,London,meeting_booked,physical,in_conversation,template,[template] Next step for Faded Denim,"Hi there, good chatting. To keep things moving I can put together bulk pricing on vintage streetwear — nike, adidas, ralph or set up a small first order whenever you're ready — which is easier for you?"
Analog Loft,London,meeting_booked,physical,in_conversation,template,[template] Next step for Analog Loft,"Hi Chloe Okafor, good chatting. To keep things moving I can put together bulk pricing on retro football shirts & vintage sportswear or set up a small first order whenever you're ready — which is easier for you?"
